repo,pr_number,mean_toxicity,max_toxicity,mean_sentiment,mean_anger,mean_politeness
kubernetes/kubernetes,122543,0.000899541851443549,0.0009631884749978781,-0.3392001576721668,0.022059989161789417,0.0
kubernetes/kubernetes,122547,0.0007173317717388272,0.0007173317717388272,-0.05913039483129978,0.04044076427817345,0.0
kubernetes/kubernetes,122549,0.000651886104606092,0.000651886104606092,-0.6411519981920719,0.007550335023552179,0.0
kubernetes/kubernetes,122550,0.016749648274853826,0.7969720363616943,-0.2050232648383826,0.03789700363762677,0.03967903636077852
kubernetes/kubernetes,122551,0.0018346164918815095,0.007819313555955887,-0.19331634355088076,0.01954635271492104,0.143475866141326
kubernetes/kubernetes,122552,0.0006389469257555902,0.0007378816371783614,0.058236309140920636,0.011901983339339495,0.0
kubernetes/kubernetes,122555,0.0013924218993633984,0.015214920043945312,-0.07585261348634958,0.02276428387966007,0.040269821737708565
kubernetes/kubernetes,122556,0.0007470074342563748,0.0008802140364423394,-0.27565508615225554,0.013205074291262362,0.0591811121816541
kubernetes/kubernetes,122557,0.0007044724305160343,0.0009387137251906097,-0.08505924418568611,0.031434907019138335,0.0
kubernetes/kubernetes,122558,0.0007753876991392602,0.002064293948933482,0.008929142063217503,0.016733409426662894,0.09843124665717065
kubernetes/kubernetes,122559,0.0007652440690435469,0.0008680359460413456,-0.11168612415591876,0.026113692360619705,0.0
kubernetes/kubernetes,122560,0.0006789527251385152,0.0007576011121273041,0.10192913934588432,0.020335567416623235,0.0
kubernetes/kubernetes,122561,0.0006221478222869336,0.0008922780398279428,-0.2242736265528947,0.018369188415817916,0.16906519645685045
kubernetes/kubernetes,122564,0.0008318478066939861,0.0009258139762096107,0.030401531606912613,0.00775091047398746,0.0
kubernetes/kubernetes,122565,0.0006731957982992753,0.000743808806873858,-0.4652051159646362,0.03675460442900658,0.0
kubernetes/kubernetes,122567,0.0005896406364627182,0.0006114871939644217,-0.2898208250602086,0.010347069551547369,0.40223467889117065
kubernetes/kubernetes,122569,0.0007246179350962242,0.0010416682343930006,-0.07014035480096936,0.051490688851724066,0.1844721696683018
kubernetes/kubernetes,122570,0.0022017007577233016,0.014217859134078026,-0.06630066166130397,0.017783295685568683,0.0865439462058048
kubernetes/kubernetes,122571,0.0012991789844818413,0.0034472292754799128,-0.16447362982268846,0.0505522385106555,0.0511710068262593
kubernetes/kubernetes,122574,0.0007430521363858134,0.0010098038474097848,0.057667989982292056,0.020766353933140635,0.17909852389190756
kubernetes/kubernetes,122576,0.0006423809487993518,0.0007378816371783614,0.088322880367438,0.014357974442342917,0.0
